# Exported TensorBoard events
# Source: /Users/saharshgoenka/Documents/env-highway/CS269-Parking/logs/PPO_6/events.out.tfevents.1764220830.Mac.lan1.33455.0
# Exported: 2025-11-28T14:06:11.406006

## Scalars

[rollout/ep_len_mean]
step=696320	wall_time=2025-11-26T22:18:05.824141	value=14.510000228881836
step=698368	wall_time=2025-11-26T22:18:20.599701	value=14.65999984741211
step=700416	wall_time=2025-11-26T22:18:34.924148	value=14.6899995803833
step=702464	wall_time=2025-11-26T22:18:43.902695	value=14.649999618530273
step=704512	wall_time=2025-11-26T22:18:54.277562	value=14.680000305175781
step=706560	wall_time=2025-11-26T22:19:05.178413	value=14.819999694824219
step=708608	wall_time=2025-11-26T22:19:15.574466	value=14.600000381469727
step=710656	wall_time=2025-11-26T22:19:25.375916	value=14.65999984741211
step=712704	wall_time=2025-11-26T22:19:33.702524	value=14.819999694824219
step=714752	wall_time=2025-11-26T22:19:42.066306	value=14.65999984741211
step=716800	wall_time=2025-11-26T22:19:51.343768	value=14.789999961853027
step=718848	wall_time=2025-11-26T22:19:59.353182	value=14.5
step=720896	wall_time=2025-11-26T22:20:09.884215	value=14.729999542236328
step=722944	wall_time=2025-11-26T22:20:20.105543	value=14.760000228881836
step=724992	wall_time=2025-11-26T22:20:28.888285	value=14.710000038146973
step=727040	wall_time=2025-11-26T22:20:37.855496	value=14.930000305175781
step=729088	wall_time=2025-11-26T22:20:47.244060	value=14.779999732971191
step=731136	wall_time=2025-11-26T22:20:56.159783	value=14.829999923706055
step=733184	wall_time=2025-11-26T22:21:04.235561	value=14.869999885559082
step=735232	wall_time=2025-11-26T22:21:12.993181	value=14.850000381469727
step=737280	wall_time=2025-11-26T22:21:21.561740	value=14.770000457763672
step=739328	wall_time=2025-11-26T22:21:30.986990	value=14.6899995803833
step=741376	wall_time=2025-11-26T22:21:40.042774	value=14.729999542236328
step=743424	wall_time=2025-11-26T22:21:49.043416	value=14.75
step=745472	wall_time=2025-11-26T22:21:59.351281	value=14.890000343322754
step=747520	wall_time=2025-11-26T22:22:07.330568	value=14.819999694824219
step=749568	wall_time=2025-11-26T22:22:15.207260	value=14.850000381469727
step=751616	wall_time=2025-11-26T22:22:23.086422	value=14.90999984741211
step=753664	wall_time=2025-11-26T22:22:30.220725	value=14.90999984741211
step=755712	wall_time=2025-11-26T22:22:37.463239	value=14.630000114440918
step=757760	wall_time=2025-11-26T22:22:46.428560	value=15.0
step=759808	wall_time=2025-11-26T22:22:55.325630	value=14.90999984741211
step=761856	wall_time=2025-11-26T22:23:16.155949	value=14.920000076293945
step=763904	wall_time=2025-11-26T22:23:27.079696	value=15.09000015258789
step=765952	wall_time=2025-11-26T22:23:36.367436	value=14.789999961853027
step=768000	wall_time=2025-11-26T22:23:45.484521	value=14.9399995803833
step=770048	wall_time=2025-11-26T22:23:54.003844	value=14.770000457763672
step=772096	wall_time=2025-11-26T22:24:01.446190	value=15.0
